noisy_romaji	kanji	clean_romaji	typo_distance	romaji_style	is_partial	partial_len	tokenized	language_segments	has_en_words
m	雨	am	1	kunrei	1	2	m雨		0
az	雨	am	2	kunrei	1	2	az雨		0
na	雨	am	3	kunrei	1	2	na雨		0
ame	雨	ame	0	waapuro	0	0	ame雨		0
same	雨	ame	1	waapuro	0	0	same雨		0
wamre	雨	ame	2	waapuro	0	0	wamre雨		0
mae	雨	ame	3	waapuro	0	0	mae雨		0
a	雨	a	0	waapuro	1	1	a雨		0
qa	雨	a	1	waapuro	1	1	qa雨		0
z	雨	a	2	waapuro	1	1	z雨		0
w	雨	a	3	waapuro	1	1	w雨		0
am	雨	am	0	waapuro	1	2	am雨		0
zam	雨	am	1	waapuro	1	2	zam雨		0
aw	雨	am	2	waapuro	1	2	aw雨		0
zsm	雨	am	3	waapuro	1	2	zsm雨		0
furu	降る	furu	0	hepburn	0	0	furu降る		0
fufru	降る	furu	1	hepburn	0	0	fufru降る		0
fuur	降る	furu	2	hepburn	0	0	fuur降る		0
fhryhu	降る	furu	3	hepburn	0	0	fhryhu降る		0
f	降る	f	0	hepburn	1	1	f降る		0
d	降る	f	1	hepburn	1	1	d降る		0
w	降る	f	2	hepburn	1	1	w降る		0
esd	降る	f	3	hepburn	1	1	esd降る		0
fu	降る	fu	0	hepburn	1	2	fu降る		0
uf	降る	fu	1	hepburn	1	2	uf降る		0
u	降る	fu	2	hepburn	1	2	u降る		0
tju	降る	fu	3	hepburn	1	2	tju降る		0
huru	降る	huru	0	kunrei	0	0	huru降る		0
uhuru	降る	huru	1	kunrei	0	0	uhuru降る		0
hueruj	降る	huru	2	kunrei	0	0	hueruj降る		0
heeru	降る	huru	3	kunrei	0	0	heeru降る		0
huru	降る	huru	0	kunrei	1	4	huru降る		0
buru	降る	huru	1	kunrei	1	4	buru降る		0
yuhru	降る	huru	2	kunrei	1	4	yuhru降る		0
hjurru	降る	huru	3	kunrei	1	4	hjurru降る		0
hu	降る	hu	0	kunrei	1	2	hu降る		0
u	降る	hu	1	kunrei	1	2	u降る		0
b	降る	hu	2	kunrei	1	2	b降る		0
huu	降る	hu	3	kunrei	1	2	huu降る		0
huru	降る	huru	0	waapuro	0	0	huru降る		0
hru	降る	huru	1	waapuro	0	0	hru降る		0
hjuu	降る	huru	2	waapuro	0	0	hjuu降る		0
ijuhru	降る	huru	3	waapuro	0	0	ijuhru降る		0
hur	降る	hur	0	waapuro	1	3	hur降る		0
hir	降る	hur	1	waapuro	1	3	hir降る		0
huer	降る	hur	2	waapuro	1	3	huer降る		0
ghrut	降る	hur	3	waapuro	1	3	ghrut降る		0
hu	降る	hu	0	waapuro	1	2	hu降る		0
hju	降る	hu	1	waapuro	1	2	hju降る		0
	降る	hu	2	waapuro	1	2	降る		0
uk	降る	hu	3	waapuro	1	2	uk降る		0
nippon	日本	nippon	0	hepburn	0	0	nippon日本		0
npipon	日本	nippon	1	hepburn	0	0	npipon日本		0
nipponm	日本	nippon	2	hepburn	0	0	nipponm日本		0
noipohn	日本	nippon	3	hepburn	0	0	noipohn日本		0
nippon	日本	nippon	0	hepburn	1	6	nippon日本		0
noippon	日本	nippon	1	hepburn	1	6	noippon日本		0
nkppno	日本	nippon	2	hepburn	1	6	nkppno日本		0
nippnohb	日本	nippon	3	hepburn	1	6	nippnohb日本		0
nippo	日本	nippo	0	hepburn	1	5	nippo日本		0
noppo	日本	nippo	1	hepburn	1	5	noppo日本		0
njiopo	日本	nippo	2	hepburn	1	5	njiopo日本		0
inppjo	日本	nippo	3	hepburn	1	5	inppjo日本		0
nippon	日本	nippon	0	kunrei	0	0	nippon日本		0
inppon	日本	nippon	1	kunrei	0	0	inppon日本		0
hilpon	日本	nippon	2	kunrei	0	0	hilpon日本		0
nuoppomn	日本	nippon	3	kunrei	0	0	nuoppomn日本		0
nippon	日本	nippon	0	kunrei	1	6	nippon日本		0
nioppon	日本	nippon	1	kunrei	1	6	nioppon日本		0
npipkn	日本	nippon	2	kunrei	1	6	npipkn日本		0
nioln	日本	nippon	3	kunrei	1	6	nioln日本		0
nippo	日本	nippo	0	kunrei	1	5	nippo日本		0
npipo	日本	nippo	1	kunrei	1	5	npipo日本		0
nppoi	日本	nippo	2	kunrei	1	5	nppoi日本		0
nipp	日本	nippo	3	kunrei	1	5	nipp日本		0
nippon	日本	nippon	0	waapuro	0	0	nippon日本		0
jippon	日本	nippon	1	waapuro	0	0	jippon日本		0
nipoln	日本	nippon	2	waapuro	0	0	nipoln日本		0
nkopn	日本	nippon	3	waapuro	0	0	nkopn日本		0
nippon	日本	nippon	0	waapuro	1	6	nippon日本		0
nipon	日本	nippon	1	waapuro	1	6	nipon日本		0
npipno	日本	nippon	2	waapuro	1	6	npipno日本		0
nioo	日本	nippon	3	waapuro	1	6	nioo日本		0
n	日本	n	0	waapuro	1	1	n日本		0
nm	日本	n	1	waapuro	1	1	nm日本		0
	日本	n	2	waapuro	1	1	日本		0
u	日本	n	3	waapuro	1	1	u日本		0
go	語	go	0	hepburn	0	0	go語		0
goi	語	go	1	hepburn	0	0	goi語		0
iog	語	go	2	hepburn	0	0	iog語		0
oo	語	go	3	hepburn	0	0	oo語		0
g	語	g	0	hepburn	1	1	g語		0
f	語	g	1	hepburn	1	1	f語		0
gg	語	g	2	hepburn	1	1	gg語		0
vghg	語	g	3	hepburn	1	1	vghg語		0
go	語	go	0	hepburn	1	2	go語		0
gk	語	go	1	hepburn	1	2	gk語		0
kg	語	go	2	hepburn	1	2	kg語		0
p	語	go	3	hepburn	1	2	p語		0
go	語	go	0	kunrei	0	0	go語		0
gk	語	go	1	kunrei	0	0	gk語		0
go	語	go	2	kunrei	0	0	go語		0
z	語	go	3	kunrei	0	0	z語		0
g	語	g	0	kunrei	1	1	g語		0
gt	語	g	1	kunrei	1	1	gt語		0
	語	g	2	kunrei	1	1	語		0
	語	g	3	kunrei	1	1	語		0
go	語	go	0	kunrei	1	2	go語		0
bgo	語	go	1	kunrei	1	2	bgo語		0
	語	go	2	kunrei	1	2	語		0
g	語	go	3	kunrei	1	2	g語		0
go	語	go	0	waapuro	0	0	go語		0
bgo	語	go	1	waapuro	0	0	bgo語		0
iog	語	go	2	waapuro	0	0	iog語		0
fo	語	go	3	waapuro	0	0	fo語		0
g	語	g	0	waapuro	1	1	g語		0
v	語	g	1	waapuro	1	1	v語		0
gt	語	g	2	waapuro	1	1	gt語		0
w	語	g	3	waapuro	1	1	w語		0
go	語	go	0	waapuro	1	2	go語		0
ho	語	go	1	waapuro	1	2	ho語		0
	語	go	2	waapuro	1	2	語		0
gl	語	go	3	waapuro	1	2	gl語		0
manabu	学ぶ	manabu	0	hepburn	0	0	manabu学ぶ		0
mamabu	学ぶ	manabu	1	hepburn	0	0	mamabu学ぶ		0
manzub	学ぶ	manabu	2	hepburn	0	0	manzub学ぶ		0
nmabu	学ぶ	manabu	3	hepburn	0	0	nmabu学ぶ		0
manabu	学ぶ	manabu	0	hepburn	1	6	manabu学ぶ		0
manau	学ぶ	manabu	1	hepburn	1	6	manau学ぶ		0
mansaub	学ぶ	manabu	2	hepburn	1	6	mansaub学ぶ		0
amjaub	学ぶ	manabu	3	hepburn	1	6	amjaub学ぶ		0
ma	学ぶ	ma	0	hepburn	1	2	ma学ぶ		0
maw	学ぶ	ma	1	hepburn	1	2	maw学ぶ		0
mk	学ぶ	ma	2	hepburn	1	2	mk学ぶ		0
mk	学ぶ	ma	3	hepburn	1	2	mk学ぶ		0
manabu	学ぶ	manabu	0	kunrei	0	0	manabu学ぶ		0
mananu	学ぶ	manabu	1	kunrei	0	0	mananu学ぶ		0
majnavu	学ぶ	manabu	2	kunrei	0	0	majnavu学ぶ		0
mzanaiu	学ぶ	manabu	3	kunrei	0	0	mzanaiu学ぶ		0
mana	学ぶ	mana	0	kunrei	1	4	mana学ぶ		0
amna	学ぶ	mana	1	kunrei	1	4	amna学ぶ		0
wmna	学ぶ	mana	2	kunrei	1	4	wmna学ぶ		0
nbaa	学ぶ	mana	3	kunrei	1	4	nbaa学ぶ		0
m	学ぶ	m	0	kunrei	1	1	m学ぶ		0
j	学ぶ	m	1	kunrei	1	1	j学ぶ		0
	学ぶ	m	2	kunrei	1	1	学ぶ		0
q	学ぶ	m	3	kunrei	1	1	q学ぶ		0
manabu	学ぶ	manabu	0	waapuro	0	0	manabu学ぶ		0
manavbu	学ぶ	manabu	1	waapuro	0	0	manavbu学ぶ		0
mnaabj	学ぶ	manabu	2	waapuro	0	0	mnaabj学ぶ		0
jnanbu	学ぶ	manabu	3	waapuro	0	0	jnanbu学ぶ		0
manabu	学ぶ	manabu	0	waapuro	1	6	manabu学ぶ		0
mamabu	学ぶ	manabu	1	waapuro	1	6	mamabu学ぶ		0
mabnbu	学ぶ	manabu	2	waapuro	1	6	mabnbu学ぶ		0
amab	学ぶ	manabu	3	waapuro	1	6	amab学ぶ		0
manab	学ぶ	manab	0	waapuro	1	5	manab学ぶ		0
mnab	学ぶ	manab	1	waapuro	1	5	mnab学ぶ		0
mabnba	学ぶ	manab	2	waapuro	1	5	mabnba学ぶ		0
jkanabn	学ぶ	manab	3	waapuro	1	5	jkanabn学ぶ		0
tanoshii	楽しい	tanoshii	0	hepburn	0	0	tanoshii楽しい		0
tanoshki	楽しい	tanoshii	1	hepburn	0	0	tanoshki楽しい		0
yanoshi	楽しい	tanoshii	2	hepburn	0	0	yanoshi楽しい		0
taniosyjii	楽しい	tanoshii	3	hepburn	0	0	taniosyjii楽しい		0
ta	楽しい	ta	0	hepburn	1	2	ta楽しい		0
fa	楽しい	ta	1	hepburn	1	2	fa楽しい		0
ta	楽しい	ta	2	hepburn	1	2	ta楽しい		0
fy	楽しい	ta	3	hepburn	1	2	fy楽しい		0
tanoshii	楽しい	tanoshii	0	hepburn	1	8	tanoshii楽しい		0
tansohii	楽しい	tanoshii	1	hepburn	1	8	tansohii楽しい		0
tnaoshii	楽しい	tanoshii	2	hepburn	1	8	tnaoshii楽しい		0
tanoishi	楽しい	tanoshii	3	hepburn	1	8	tanoishi楽しい		0
tanosii	楽しい	tanosii	0	kunrei	0	0	tanosii楽しい		0
anosii	楽しい	tanosii	1	kunrei	0	0	anosii楽しい		0
tanoisi	楽しい	tanosii	2	kunrei	0	0	tanoisi楽しい		0
atlsii	楽しい	tanosii	3	kunrei	0	0	atlsii楽しい		0
ta	楽しい	ta	0	kunrei	1	2	ta楽しい		0
at	楽しい	ta	1	kunrei	1	2	at楽しい		0
aq	楽しい	ta	2	kunrei	1	2	aq楽しい		0
yta	楽しい	ta	3	kunrei	1	2	yta楽しい		0
tanos	楽しい	tanos	0	kunrei	1	5	tanos楽しい		0
taons	楽しい	tanos	1	kunrei	1	5	taons楽しい		0
tanoi	楽しい	tanos	2	kunrei	1	5	tanoi楽しい		0
tanods	楽しい	tanos	3	kunrei	1	5	tanods楽しい		0
tanoshii	楽しい	tanoshii	0	waapuro	0	0	tanoshii楽しい		0
taonshii	楽しい	tanoshii	1	waapuro	0	0	taonshii楽しい		0
tanosiji	楽しい	tanoshii	2	waapuro	0	0	tanosiji楽しい		0
atnoshuioi	楽しい	tanoshii	3	waapuro	0	0	atnoshuioi楽しい		0
tanoshii	楽しい	tanoshii	0	waapuro	1	8	tanoshii楽しい		0
taonshii	楽しい	tanoshii	1	waapuro	1	8	taonshii楽しい		0
tanosuiu	楽しい	tanoshii	2	waapuro	1	8	tanosuiu楽しい		0
tqnwaoshii	楽しい	tanoshii	3	waapuro	1	8	tqnwaoshii楽しい		0
ta	楽しい	ta	0	waapuro	1	2	ta楽しい		0
at	楽しい	ta	1	waapuro	1	2	at楽しい		0
	楽しい	ta	2	waapuro	1	2	楽しい		0
taza	楽しい	ta	3	waapuro	1	2	taza楽しい		0
toukyou	東京	toukyou	0	hepburn	0	0	toukyou東京		0
toukyo	東京	toukyou	1	hepburn	0	0	toukyo東京		0
tuykou	東京	toukyou	2	hepburn	0	0	tuykou東京		0
oftuykou	東京	toukyou	3	hepburn	0	0	oftuykou東京		0
touk	東京	touk	0	hepburn	1	4	touk東京		0
toukl	東京	touk	1	hepburn	1	4	toukl東京		0
toyyuk	東京	touk	2	hepburn	1	4	toyyuk東京		0
ytuko	東京	touk	3	hepburn	1	4	ytuko東京		0
tou	東京	tou	0	hepburn	1	3	tou東京		0
gtou	東京	tou	1	hepburn	1	3	gtou東京		0
tu	東京	tou	2	hepburn	1	3	tu東京		0
gi	東京	tou	3	hepburn	1	3	gi東京		0
toukyou	東京	toukyou	0	kunrei	0	0	toukyou東京		0
oukyou	東京	toukyou	1	kunrei	0	0	oukyou東京		0
oukyo	東京	toukyou	2	kunrei	0	0	oukyo東京		0
tokuu	東京	toukyou	3	kunrei	0	0	tokuu東京		0
touky	東京	touky	0	kunrei	1	5	touky東京		0
touyk	東京	touky	1	kunrei	1	5	touyk東京		0
rtuoky	東京	touky	2	kunrei	1	5	rtuoky東京		0
tukyvg	東京	touky	3	kunrei	1	5	tukyvg東京		0
toukyo	東京	toukyo	0	kunrei	1	6	toukyo東京		0
tokyo	東京	toukyo	1	kunrei	1	6	tokyo東京		0
foukoy	東京	toukyo	2	kunrei	1	6	foukoy東京		0
otukoty	東京	toukyo	3	kunrei	1	6	otukoty東京		0
toukyou	東京	toukyou	0	waapuro	0	0	toukyou東京		0
touktyou	東京	toukyou	1	waapuro	0	0	touktyou東京		0
toulkypou	東京	toukyou	2	waapuro	0	0	toulkypou東京		0
ouyko	東京	toukyou	3	waapuro	0	0	ouyko東京		0
toukyou	東京	toukyou	0	waapuro	1	7	toukyou東京		0
toukyo	東京	toukyou	1	waapuro	1	7	toukyo東京		0
tokuyo	東京	toukyou	2	waapuro	1	7	tokuyo東京		0
rtiukoyu	東京	toukyou	3	waapuro	1	7	rtiukoyu東京		0
toukyo	東京	toukyo	0	waapuro	1	6	toukyo東京		0
toulyo	東京	toukyo	1	waapuro	1	6	toulyo東京		0
tuyko	東京	toukyo	2	waapuro	1	6	tuyko東京		0
tukoy	東京	toukyo	3	waapuro	1	6	tukoy東京		0
sun	住ん	sun	0	hepburn	0	0	sun住ん		0
snu	住ん	sun	1	hepburn	0	0	snu住ん		0
sghn	住ん	sun	2	hepburn	0	0	sghn住ん		0
shnuh	住ん	sun	3	hepburn	0	0	shnuh住ん		0
su	住ん	su	0	hepburn	1	2	su住ん		0
us	住ん	su	1	hepburn	1	2	us住ん		0
	住ん	su	2	hepburn	1	2	住ん		0
ust	住ん	su	3	hepburn	1	2	ust住ん		0
sun	住ん	sun	0	hepburn	1	3	sun住ん		0
sjun	住ん	sun	1	hepburn	1	3	sjun住ん		0
eum	住ん	sun	2	hepburn	1	3	eum住ん		0
n	住ん	sun	3	hepburn	1	3	n住ん		0
sun	住ん	sun	0	kunrei	0	0	sun住ん		0
sn	住ん	sun	1	kunrei	0	0	sn住ん		0
dnu	住ん	sun	2	kunrei	0	0	dnu住ん		0
unm	住ん	sun	3	kunrei	0	0	unm住ん		0
sun	住ん	sun	0	kunrei	1	3	sun住ん		0
usn	住ん	sun	1	kunrei	1	3	usn住ん		0
uxn	住ん	sun	2	kunrei	1	3	uxn住ん		0
inj	住ん	sun	3	kunrei	1	3	inj住ん		0
s	住ん	s	0	kunrei	1	1	s住ん		0
	住ん	s	1	kunrei	1	1	住ん		0
xx	住ん	s	2	kunrei	1	1	xx住ん		0
x	住ん	s	3	kunrei	1	1	x住ん		0
sun	住ん	sun	0	waapuro	0	0	sun住ん		0
zun	住ん	sun	1	waapuro	0	0	zun住ん		0
sumhn	住ん	sun	2	waapuro	0	0	sumhn住ん		0
zy	住ん	sun	3	waapuro	0	0	zy住ん		0
sun	住ん	sun	0	waapuro	1	3	sun住ん		0
usn	住ん	sun	1	waapuro	1	3	usn住ん		0
usj	住ん	sun	2	waapuro	1	3	usj住ん		0
zun	住ん	sun	3	waapuro	1	3	zun住ん		0
su	住ん	su	0	waapuro	1	2	su住ん		0
sj	住ん	su	1	waapuro	1	2	sj住ん		0
is	住ん	su	2	waapuro	1	2	is住ん		0
qui	住ん	su	3	waapuro	1	2	qui住ん		0
kyouto	京都	kyouto	0	hepburn	0	0	kyouto京都		0
koyuto	京都	kyouto	1	hepburn	0	0	koyuto京都		0
kouo	京都	kyouto	2	hepburn	0	0	kouo京都		0
gykojto	京都	kyouto	3	hepburn	0	0	gykojto京都		0
kyouto	京都	kyouto	0	hepburn	1	6	kyouto京都		0
kyouot	京都	kyouto	1	hepburn	1	6	kyouot京都		0
ktoutop	京都	kyouto	2	hepburn	1	6	ktoutop京都		0
youto	京都	kyouto	3	hepburn	1	6	youto京都		0
kyou	京都	kyou	0	hepburn	1	4	kyou京都		0
kyo	京都	kyou	1	hepburn	1	4	kyo京都		0
kylyu	京都	kyou	2	hepburn	1	4	kylyu京都		0
kgo	京都	kyou	3	hepburn	1	4	kgo京都		0
kyouto	京都	kyouto	0	kunrei	0	0	kyouto京都		0
youto	京都	kyouto	1	kunrei	0	0	youto京都		0
youtp	京都	kyouto	2	kunrei	0	0	youtp京都		0
iykoutp	京都	kyouto	3	kunrei	0	0	iykoutp京都		0
ky	京都	ky	0	kunrei	1	2	ky京都		0
k	京都	ky	1	kunrei	1	2	k京都		0
uk	京都	ky	2	kunrei	1	2	uk京都		0
yl	京都	ky	3	kunrei	1	2	yl京都		0
kyout	京都	kyout	0	kunrei	1	5	kyout京都		0
kyuot	京都	kyout	1	kunrei	1	5	kyuot京都		0
jyoyt	京都	kyout	2	kunrei	1	5	jyoyt京都		0
kuytf	京都	kyout	3	kunrei	1	5	kuytf京都		0
kyouto	京都	kyouto	0	waapuro	0	0	kyouto京都		0
koyuto	京都	kyouto	1	waapuro	0	0	koyuto京都		0
koyugo	京都	kyouto	2	waapuro	0	0	koyugo京都		0
yuo	京都	kyouto	3	waapuro	0	0	yuo京都		0
kyout	京都	kyout	0	waapuro	1	5	kyout京都		0
kyoug	京都	kyout	1	waapuro	1	5	kyoug京都		0
kyurt	京都	kyout	2	waapuro	1	5	kyurt京都		0
kut	京都	kyout	3	waapuro	1	5	kut京都		0
kyou	京都	kyou	0	waapuro	1	4	kyou京都		0
kyiu	京都	kyou	1	waapuro	1	4	kyiu京都		0
ihou	京都	kyou	2	waapuro	1	4	ihou京都		0
kyoui	京都	kyou	3	waapuro	1	4	kyoui京都		0
tera	寺	tera	0	hepburn	0	0	tera寺		0
ter	寺	tera	1	hepburn	0	0	ter寺		0
teraz	寺	tera	2	hepburn	0	0	teraz寺		0
rew	寺	tera	3	hepburn	0	0	rew寺		0
tera	寺	tera	0	hepburn	1	4	tera寺		0
trra	寺	tera	1	hepburn	1	4	trra寺		0
teerz	寺	tera	2	hepburn	1	4	teerz寺		0
etrsz	寺	tera	3	hepburn	1	4	etrsz寺		0
te	寺	te	0	hepburn	1	2	te寺		0
t	寺	te	1	hepburn	1	2	t寺		0
te	寺	te	2	hepburn	1	2	te寺		0
tv	寺	te	3	hepburn	1	2	tv寺		0
tera	寺	tera	0	kunrei	0	0	tera寺		0
tdera	寺	tera	1	kunrei	0	0	tdera寺		0
tew	寺	tera	2	kunrei	0	0	tew寺		0
graq	寺	tera	3	kunrei	0	0	graq寺		0
t	寺	t	0	kunrei	1	1	t寺		0
yt	寺	t	1	kunrei	1	1	yt寺		0
c	寺	t	2	kunrei	1	1	c寺		0
yt	寺	t	3	kunrei	1	1	yt寺		0
ter	寺	ter	0	kunrei	1	3	ter寺		0
yer	寺	ter	1	kunrei	1	3	yer寺		0
gyer	寺	ter	2	kunrei	1	3	gyer寺		0
tswe	寺	ter	3	kunrei	1	3	tswe寺		0
tera	寺	tera	0	waapuro	0	0	tera寺		0
tear	寺	tera	1	waapuro	0	0	tear寺		0
trwa	寺	tera	2	waapuro	0	0	trwa寺		0
tdeaq	寺	tera	3	waapuro	0	0	tdeaq寺		0
t	寺	t	0	waapuro	1	1	t寺		0
ft	寺	t	1	waapuro	1	1	ft寺		0
g	寺	t	2	waapuro	1	1	g寺		0
rt	寺	t	3	waapuro	1	1	rt寺		0
te	寺	te	0	waapuro	1	2	te寺		0
t	寺	te	1	waapuro	1	2	t寺		0
d	寺	te	2	waapuro	1	2	d寺		0
	寺	te	3	waapuro	1	2	寺		0
utsukushii	美しい	utsukushii	0	hepburn	0	0	utsukushii美しい		0
utsuushii	美しい	utsukushii	1	hepburn	0	0	utsuushii美しい		0
ustukushi	美しい	utsukushii	2	hepburn	0	0	ustukushi美しい		0
yutauoushii	美しい	utsukushii	3	hepburn	0	0	yutauoushii美しい		0
